name,review_count,rating,price,category,city,state,zip_code,delivery,pickup,restaurant reservation,vagen_options,street parking,wheelchair accessible,free wi-fi,accepts credit card,accepts apple pay,accepts android pay,outdoor seating,casual dress,good for kids,bike parking,tv,waiter service,full bar,dogs allowed
Levain Bakery,8388,4.5,2,bakeries,New York,NY,10023,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0
Katz's Delicatessen,12677,4,2,delis,New York,NY,10002,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0
Ippudo NY,10031,4,2,ramen,New York,NY,10003,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Halal Guys,9590,4,1,foodstands,New York,NY,10019,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
Bibble & Sip,4922,4.5,1,coffee,New York,NY,10019,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0
Los Tacos No.1,3096,4.5,1,tacos,New York,NY,10011,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0
LoveMama,5285,4.5,2,thai,New York,NY,10003,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0
Prince Street Pizza,3838,4.5,1,pizza,New York,NY,10012,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0
Thai Villa,3665,4.5,2,thai,New York,NY,10003,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0
Best Bagel & Coffee,3413,4.5,1,bagels,New York,NY,10001,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0
Burger & Lobster - Flatiron NYC,5479,4,2,seafood,New York,NY,10011,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0
Gramercy Tavern,2943,4.5,4,newamerican,New York,NY,10003,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0
Doughnut Plant,3250,4.5,2,donuts,New York,NY,10002,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0
Clinton Street Baking Company,5176,4,2,bakeries,New York,NY,10002,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0
Shake Shack,5606,4,2,burgers,New York,NY,10010,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
Taiyaki NYC,2966,4.5,1,desserts,New York,NY,10013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Tacos No.1,1906,4.5,1,tacos,New York,NY,10036,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Dominique Ansel Bakery,4666,4,2,bakeries,New York,NY,10012,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0
Le Bernardin,2563,4.5,4,french,New York,NY,10019,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0
Jacob's Pickles,4415,4,2,comfortfood,New York,NY,10024,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1
Two Little Red Hens,2616,4.5,2,bakeries,New York,NY,10028,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
Buddakan,4077,4,3,chinese,New York,NY,10011,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0
Club A Steakhouse,2868,4.5,3,steak,New York,NY,10022,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0
Amélie,2731,4.5,2,french,New York,NY,10011,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0
Joe's Shanghai,6295,4,2,shanghainese,New York,NY,10013,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Russ & Daughters,2296,4.5,2,bagels,New York,NY,10002,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0
Chinatown Ice Cream Factory,2829,4,1,icecream,New York,NY,10013,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
